         1510191 function calls (1488920 primitive calls) in 19.089 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9277    0.010    0.000    0.010    0.000 {method 'pop' of 'dict' objects}
     1756    0.010    0.000    0.022    0.000 numeric.py:2656(seterr)
     1953    0.009    0.000    0.020    0.000 inspect.py:2467(__init__)
     3057    0.009    0.000    0.029    0.000 re.py:170(match)
     3052    0.009    0.000    0.033    0.000 colors.py:115(_is_nth_color)
      712    0.009    0.000    0.050    0.000 artist.py:925(update)
     1938    0.009    0.000    0.018    0.000 transforms.py:1776(transform_affine)
      856    0.009    0.000    0.012    0.000 {built-in method matplotlib._path.update_path_extents}
      654    0.009    0.000    0.017    0.000 artist.py:74(__init__)
      635    0.008    0.000    0.119    0.000 text.py:270(_get_layout)
     2561    0.008    0.000    0.054    0.000 colors.py:149(to_rgba)
     5738    0.008    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
       12    0.008    0.001    0.124    0.010 artist.py:1260(_get_setters_and_targets)
      482    0.008    0.000    0.172    0.000 transforms.py:697(union)
     3377    0.008    0.000    0.011    0.000 __init__.py:2147(_check_in_list)
      585    0.008    0.000    0.185    0.000 text.py:852(get_window_extent)
     3224    0.008    0.000    0.011    0.000 artist.py:321(pchanged)
     2246    0.008    0.000    0.194    0.000 inspect.py:594(getdoc)
    932/2    0.007    0.000    0.584    0.292 artist.py:30(draw_wrapper)
     2123    0.007    0.000    0.019    0.000 __init__.py:1382(_to_unmasked_float_array)
     3013    0.007    0.000    0.024    0.000 pyplot.py:572(_auto_draw_if_interactive)
     1756    0.007    0.000    0.021    0.000 __init__.py:1651(safe_first_element)
     3010    0.007    0.000    0.043    0.000 figure.py:49(_stale_figure_callback)
4185/3401    0.007    0.000    0.008    0.000 transforms.py:2357(<lambda>)
      856    0.007    0.000    0.026    0.000 transforms.py:824(update_from_path)
     2313    0.007    0.000    0.030    0.000 transforms.py:126(invalidate)
      651    0.007    0.000    0.117    0.000 lines.py:624(get_window_extent)
     4866    0.007    0.000    0.007    0.000 {built-in method builtins.abs}
     3560    0.007    0.000    0.011    0.000 sre_parse.py:254(get)
      681    0.007    0.000    0.014    0.000 inspect.py:2750(__init__)
       82    0.007    0.000    0.007    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
 1696/618    0.007    0.000    0.853    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      535    0.007    0.000    0.034    0.000 markers.py:292(set_marker)
     3015    0.007    0.000    0.016    0.000 __init__.py:1330(is_interactive)
       28    0.006    0.000    0.219    0.008 axis.py:1075(_update_ticks)
       32    0.006    0.000    0.007    0.000 {built-in method io.open}
     2572    0.006    0.000    0.026    0.000 artist.py:170(convert_xunits)
     6346    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
     5911    0.006    0.000    0.006    0.000 transforms.py:1857(get_matrix)
      218    0.006    0.000    0.512    0.002 _base.py:2386(autoscale_view)
     3059    0.006    0.000    0.018    0.000 _methods.py:45(_all)
     1756    0.006    0.000    0.008    0.000 numeric.py:2758(geterr)
      436    0.006    0.000    0.013    0.000 _base.py:2432(<listcomp>)
     1725    0.006    0.000    0.095    0.000 transforms.py:2371(transform_affine)
      283    0.006    0.000    0.175    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     6073    0.006    0.000    0.006    0.000 {built-in method builtins.id}
     2548    0.006    0.000    0.024    0.000 artist.py:182(convert_yunits)
     1456    0.006    0.000    0.014    0.000 __init__.py:2012(_setattr_cm)
     4219    0.006    0.000    0.006    0.000 {built-in method builtins.iter}
     1837    0.006    0.000    0.011    0.000 codecs.py:319(decode)
     2199    0.006    0.000    0.039    0.000 fromnumeric.py:2171(all)
      217    0.006    0.000    0.218    0.001 _base.py:1892(add_line)
      427    0.006    0.000    0.017    0.000 lines.py:1145(set_linestyle)
      348    0.006    0.000    0.100    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     1942    0.006    0.000    0.013    0.000 transforms.py:2375(transform_non_affine)
     1044    0.006    0.000    0.014    0.000 path.py:188(_update_values)
     4347    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
     3140    0.006    0.000    0.006    0.000 {built-in method builtins.max}
     2358    0.006    0.000    0.009    0.000 function_base.py:258(iterable)
     3061    0.005    0.000    0.030    0.000 {built-in method builtins.next}
      166    0.005    0.000    0.087    0.001 text.py:655(draw)
      854    0.005    0.000    0.010    0.000 lines.py:1112(_split_drawstyle_linestyle)
     1044    0.005    0.000    0.028    0.000 path.py:96(__init__)
     2303    0.005    0.000    0.021    0.000 enum.py:284(__call__)
     1797    0.005    0.000    0.081    0.000 __init__.py:762(__setitem__)
     1800    0.005    0.000    0.014    0.000 _collections_abc.py:742(__iter__)
     1837    0.005    0.000    0.005    0.000 {built-in method _codecs.utf_8_decode}
      553    0.005    0.000    0.015    0.000 transforms.py:671(translated)
     1839    0.005    0.000    0.033    0.000 fromnumeric.py:2083(any)
      913    0.005    0.000    0.011    0.000 __init__.py:968(get_siblings)
     5300    0.005    0.000    0.005    0.000 path.py:197(vertices)
     3314    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
